SEQ,çqãÛ,ìSìπ,ÉoÉX,çqãÛéûä‘,çqãÛîÔóp,ìSìπéûä‘,ìSìπîÔóp,ÉoÉXéûä‘,ÉoÉXîÔóp
1,1,0,0,292,20100,293,18050,410,8300
2,1,0,0,227,23100,313,16890,452,8500
3,1,0,0,191,20100,255,16030,540,9450
4,1,0,0,180,30800,420,21130,844,12800
5,1,0,0,168,19500,279,16320,522,9790
6,1,0,0,185,19500,302,16460,565,9990
7,1,0,0,159,19500,388,22490,850,15000
8,1,0,0,159,19500,388,22490,850,15000
9,1,0,0,159,19500,388,22490,850,15000
10,1,0,0,179,30050,415,20810,667,11830
11,1,0,0,215,24200,326,19310,660,11620
12,1,0,0,238,30250,384,19240,635,10700
13,1,0,0,165,20100,242,15190,555,9050
14,1,0,0,195,20100,264,14850,532,8870
15,1,0,0,190,22730,312,15820,595,9000
16,1,0,0,193,22730,308,15820,595,9000
17,1,0,0,137,20100,248,14480,466,8590
18,1,0,0,177,20100,213,14430,405,7900
19,1,0,0,177,20100,213,14430,405,7900
20,1,0,0,151,20100,225,14390,440,7800
21,1,0,0,164,20100,262,14780,510,8700
22,1,0,0,137,20100,248,14480,466,8590
23,1,0,0,147,20100,239,14640,495,8970
24,1,0,0,147,20100,239,14640,495,8970
25,1,0,0,155,20100,231,15040,508,6950
26,1,0,0,178,20100,201,13940,431,5700
27,1,0,0,155,20100,231,15040,508,6950
28,1,0,0,177,20100,235,14300,402,7890
29,1,0,0,210,20100,221,13810,347,7950
30,1,0,0,223,20100,267,15230,568,9200
31,1,0,0,209,20100,328,15060,538,8770
32,1,0,0,155,20100,231,15040,508,6950
33,1,0,0,155,20100,231,15040,508,6950
34,1,0,0,178,20100,201,13940,431,5700
35,1,0,0,216,20100,245,14340,427,8970
36,1,0,0,196,20100,230,14490,529,8460
37,1,0,0,123,20050,218,15030,515,9500
38,1,0,0,192,23000,363,17370,560,10090
39,1,0,0,134,20100,202,14540,458,8300
40,1,0,0,151,20100,225,14390,440,7800
41,1,0,0,193,22730,308,15820,595,9000
42,1,0,0,155,20100,231,15040,508,6950
43,1,0,0,155,20100,231,15040,508,6950
44,1,0,0,183,22730,299,15780,546,7130
45,1,0,0,155,20100,231,15040,508,6950
46,1,0,0,169,20550,313,15630,447,7500
47,1,0,0,177,21100,286,14630,438,8300
48,1,0,0,187,28600,559,20580,635,11550
49,1,0,0,193,28850,296,18800,702,11700
50,1,0,0,193,28850,296,18800,702,11700
51,1,0,0,172,30800,395,20530,779,12300
52,1,0,0,160,26600,402,19490,510,8900
53,1,0,0,224,26000,389,21240,895,13000
54,1,0,0,190,27950,313,21830,646,11930
55,1,0,0,182,29250,411,22510,682,12000
56,1,0,0,150,15200,301,12940,471,6700
57,1,0,0,178,15700,306,12330,292,6500
58,1,0,0,222,23900,334,16960,462,9280
59,1,0,0,191,21000,353,18140,619,10400
60,1,0,0,180,25050,414,21350,719,11000
61,1,0,0,164,26650,377,20370,655,11500
62,1,0,0,184,20100,248,14340,457,8870
63,1,0,0,194,28950,251,17580,591,9800
64,1,0,0,134,20100,202,14540,458,8300
65,1,0,0,238,20100,247,14020,387,8360
66,1,0,0,184,20100,248,14340,457,8870
67,1,0,0,191,20100,255,16030,540,9450
68,1,0,0,123,20050,218,15030,515,9500
69,1,0,0,123,20050,218,15030,515,9500
70,1,0,0,211,20450,255,16230,645,10000
71,1,0,0,151,20100,225,14390,440,7800
72,1,0,0,183,22730,299,15780,546,7130
73,1,0,0,123,20050,218,15030,515,9500
74,1,0,0,177,21100,286,14630,438,8300
75,1,0,0,177,21100,286,14630,438,8300
76,1,0,0,177,21100,286,14630,438,8300
77,1,0,0,187,28600,559,20580,635,11550
78,1,0,0,175,28100,415,19480,600,10900
79,1,0,0,234,32000,323,19970,700,13150
80,1,0,0,160,26600,402,19490,510,8900
81,1,0,0,159,19500,388,22490,850,15000
82,1,0,0,227,23100,313,16890,452,8500
83,1,0,0,222,23900,334,16960,462,9280
84,1,0,0,152,21000,329,17140,555,10000
85,1,0,0,215,24200,326,19310,660,11620
86,1,0,0,197,20100,272,14630,486,8900
87,1,0,0,256,29250,267,18390,545,10900
88,1,0,0,223,26000,389,21240,895,13000
89,1,0,0,223,26000,389,21240,895,13000
90,1,0,0,177,21100,287,14630,438,8300
91,1,0,0,209,30150,318,20820,694,12740
92,1,0,0,162,26650,378,20370,655,11500
93,1,0,0,158,20100,230,15040,508,6950
94,1,0,0,224,20100,242,14870,430,8300
95,1,0,0,158,20100,230,15040,508,6950
96,1,0,0,158,20100,230,15040,508,6950
97,1,0,0,178,20100,258,15380,630,9050
98,1,0,0,185,20100,255,16030,540,9450
99,1,0,0,185,20100,255,16030,540,9450
100,1,0,0,167,20100,207,13880,389,5500
101,1,0,0,158,20100,230,15040,508,6950
102,1,0,0,184,20100,236,14300,402,7890
103,1,0,0,136,20100,249,14480,466,8590
104,1,0,0,147,20100,265,14980,541,8590
105,1,0,0,126,20100,212,14130,474,5800
106,1,0,0,126,20100,212,14130,474,5800
107,1,0,0,169,20100,213,14430,405,7900
108,1,0,0,154,20100,256,15140,570,8970
109,1,0,0,154,20100,256,15140,570,8970
110,1,0,0,256,29250,267,18390,545,10900
111,1,0,0,133,20100,203,14290,458,8300
112,1,0,0,126,20100,212,14130,474,5800
113,1,0,0,129,19500,218,15030,515,9500
114,1,0,0,210,20450,257,16230,645,10000
115,1,0,0,186,22730,296,15780,546,7130
116,1,0,0,186,22730,296,15780,546,7130
117,1,0,0,159,20100,262,14780,510,8700
118,1,0,0,159,20100,262,14780,510,8700
119,1,0,0,149,20100,225,14430,440,7800
120,1,0,0,170,20100,282,15230,575,8700
121,1,0,0,177,21100,287,14630,438,8300
122,1,0,0,173,20550,312,15630,447,7500
123,1,0,0,173,20550,312,15630,447,7500
124,1,0,0,205,26900,403,19420,675,10700
125,1,0,0,185,27100,249,16820,530,9500
126,1,0,0,198,28850,296,18570,702,11700
127,1,0,0,198,28850,296,18570,702,11700
128,1,0,0,177,30800,396,20300,779,12300
129,1,0,0,164,26600,401,19260,510,8900
130,1,0,0,165,26600,329,17550,543,9400
131,1,0,0,201,27950,317,21830,646,11930
132,1,0,0,184,17200,308,12550,345,6000
133,1,0,0,130,15200,264,10900,224,5700
134,1,0,0,205,23900,376,18520,636,10900
135,1,0,0,205,23900,376,18520,636,10900
136,1,0,0,171,21000,305,16880,555,9800
137,1,0,0,164,25050,437,21610,599,11150
138,1,0,0,251,23750,351,19070,695,11000
139,1,0,0,158,20100,230,15040,508,6950
140,1,0,0,184,20100,236,14300,402,7890
141,1,0,0,154,20100,256,15140,570,8970
142,1,0,0,133,20100,203,14290,458,8300
143,1,0,0,133,20100,203,14290,458,8300
144,1,0,0,256,29250,267,18390,545,10900
145,1,0,0,223,26000,389,21240,895,13000
146,1,0,0,210,20450,257,16230,645,10000
147,1,0,0,184,20100,236,14300,402,7890
148,1,0,0,159,20100,262,14780,510,8700
149,1,0,0,180,19500,303,16460,565,9990
150,1,0,0,186,21500,273,14310,422,8000
151,1,0,0,186,28600,564,20580,635,11550
152,1,0,0,198,28850,296,18570,702,11700
153,1,0,0,168,26600,350,17860,600,10300
154,1,0,0,152,18650,338,13030,465,7540
155,1,0,0,130,15200,264,10900,224,5700
156,1,0,0,155,21000,328,17140,555,10000
157,1,0,0,164,25050,437,21610,599,11150
158,1,0,0,140,20100,227,14600,482,6000
159,1,0,0,181,20100,236,14950,567,8900
160,1,0,0,140,20100,227,14600,482,6000
161,1,0,0,165,20100,242,15190,555,9050
162,1,0,0,130,20100,236,14440,462,5900
163,1,0,0,134,20100,202,14540,458,8300
164,1,0,0,140,20100,227,14600,482,6000
165,1,0,0,130,20100,236,14440,462,5900
166,1,0,0,140,20100,227,14600,482,6000
167,1,0,0,134,20100,202,14540,458,8300
168,1,0,0,130,20100,236,14440,462,5900
169,1,0,0,140,20100,227,14600,482,6000
170,1,0,0,124,20100,206,14330,462,8300
171,1,0,0,140,20100,227,14600,482,6000
172,1,0,0,177,20100,213,14430,405,7900
173,1,0,0,150,20100,252,14780,425,8360
174,1,0,0,206,20100,239,14640,467,5800
175,1,0,0,140,20100,227,14600,482,6000
176,1,0,0,140,20100,227,14600,482,6000
177,1,0,0,140,20100,227,14600,482,6000
178,1,0,0,210,20100,262,14790,517,8900
179,1,0,0,140,20100,227,14600,482,6000
180,1,0,0,140,20100,227,14600,482,6000
181,1,0,0,140,20100,227,14600,482,6000
182,1,0,0,134,20100,202,14540,458,8300
183,1,0,0,140,20100,227,14600,482,6000
184,1,0,0,140,20100,227,14600,482,6000
185,1,0,0,140,20100,227,14600,482,6000
186,1,0,0,140,20100,227,14600,482,6000
187,1,0,0,130,20100,236,14440,462,5900
188,1,0,0,206,20100,239,14640,467,5800
189,1,0,0,140,20100,227,14600,482,6000
190,1,0,0,130,20100,236,14440,462,5900
191,1,0,0,159,20100,181,13360,426,7880
192,1,0,0,140,20100,227,14600,482,6000
193,1,0,0,175,20450,282,16680,570,9500
194,1,0,0,140,20100,227,14600,482,6000
195,1,0,0,223,20100,262,14510,550,8300
196,1,0,0,157,20100,250,14740,532,8660
197,1,0,0,124,20100,206,14330,462,8300
198,1,0,0,140,20100,227,14600,482,6000
199,1,0,0,140,20100,227,14600,482,6000
200,1,0,0,140,20100,227,14600,482,6000
201,1,0,0,206,20100,239,14640,467,5800
202,1,0,0,140,20100,227,14600,482,6000
203,1,0,0,140,20100,227,14600,482,6000
204,1,0,0,130,20100,236,14440,462,5900
205,1,0,0,140,20100,227,14600,482,6000
206,1,0,0,157,20100,250,14740,532,8660
207,1,0,0,130,20100,236,14440,462,5900
208,1,0,0,130,20100,236,14440,462,5900
209,1,0,0,157,20100,250,14740,532,8660
